X√‡,Y√‡,orientation,None,skirt,brim,raft,,,
90 ,210 ,"(90°∆,210°∆)",38.1 ,38.2 ,38.3 ,39.9 ,,,
120 ,210 ,"(120°∆,210°∆)",35.5 ,35.5 ,35.3 ,37.4 ,,,
150 ,210 ,"(150°∆,210°∆)",36.3 ,36.3 ,36.1 ,38.0 ,,,
180 ,210 ,"(180°∆,210°∆)",37.1 ,37.1 ,37.2 ,39.0 ,,,
210 ,210 ,"(210°∆,210°∆)",33.9 ,33.9 ,34.2 ,35.4 ,,,
240 ,210 ,"(240°∆,210°∆)",33.4 ,33.4 ,33.6 ,34.8 ,,,
270 ,210 ,"(270°∆,210°∆)",33.6 ,33.6 ,33.7 ,35.1 ,,,
300 ,210 ,"(300°∆,210°∆)",37.4 ,37.5 ,33.7 ,39.4 ,,,
330 ,210 ,"(330°∆,210°∆)",36.1 ,36.2 ,36.4 ,37.8 ,,,
360 ,210 ,"(360°∆,210°∆)",35.9 ,35.9 ,35.7 ,37.2 ,,,
0 ,240 ,"(0°∆,240°∆)",34.6 ,34.6 ,34.4 ,36.1 ,,,
30 ,240 ,"(30°∆,240°∆)",36.7 ,36.7 ,36.9 ,38.4 ,,,
60 ,240 ,"(60°∆,240°∆)",37.1 ,37.1 ,37.3 ,39.0 ,,,
90 ,240 ,"(90°∆,240°∆)",34.8 ,34.8 ,35.0 ,36.6 ,,,
120 ,240 ,"(120°∆,240°∆)",32.4 ,32.4 ,32.1 ,34.2 ,,,
150 ,240 ,"(150°∆,240°∆)",34.0 ,34.0 ,33.7 ,35.6 ,,,
180 ,240 ,"(180°∆,240°∆)",34.2 ,34.2 ,34.0 ,35.9 ,,,
210 ,240 ,"(210°∆,240°∆)",32.5 ,32.6 ,32.8 ,34.0 ,,,
240 ,240 ,"(240°∆,240°∆)",31.6 ,31.7 ,31.8 ,33.0 ,,,
270 ,240 ,"(270°∆,240°∆)",32.7 ,32.8 ,32.9 ,34.1 ,,,
300 ,240 ,"(300°∆,240°∆)",33.4 ,33.4 ,33.6 ,34.7 ,,,
330 ,240 ,"(330°∆,240°∆)",33.9 ,33.9 ,34.1 ,35.3 ,,,
360 ,240 ,"(360°∆,240°∆)",34.6 ,34.6 ,34.4 ,36.1 ,,,
0 ,270 ,"(0°∆,270°∆)",32.3 ,32.3 ,32.5 ,33.9 ,,,
30 ,270 ,"(30°∆,270°∆)",32.3 ,32.4 ,32.5 ,33.9 ,,,
60 ,270 ,"(60°∆,270°∆)",32.4 ,32.5 ,32.6 ,34.1 ,,,
90 ,270 ,"(90°∆,270°∆)",32.4 ,32.5 ,32.6 ,34.1 ,,,
120 ,270 ,"(120°∆,270°∆)",32.4 ,32.4 ,32.6 ,34.0 ,,,
150 ,270 ,"(150°∆,270°∆)",32.3 ,32.3 ,32.4 ,33.9 ,,,
180 ,270 ,"(180°∆,270°∆)",32.2 ,32.3 ,32.4 ,33.8 ,,,
210 ,270 ,"(210°∆,270°∆)",32.4 ,32.5 ,32.6 ,34.0 ,,,
240 ,270 ,"(240°∆,270°∆)",32.3 ,32.4 ,32.5 ,34.0 ,,,
270 ,270 ,"(270°∆,270°∆)",32.4 ,32.4 ,32.6 ,34.0 ,,,
300 ,270 ,"(300°∆,270°∆)",32.3 ,32.4 ,32.5 ,34.0 ,,,
330 ,270 ,"(330°∆,270°∆)",32.3 ,32.4 ,32.5 ,34.0 ,,,
360 ,270 ,"(360°∆,270°∆)",32.3 ,32.4 ,32.5 ,33.9 ,,,
0 ,300 ,"(0°∆,300°∆)",34.1 ,34.1 ,33.8 ,35.8 ,,,
30 ,300 ,"(30°∆,300°∆)",32.6 ,32.7 ,32.9 ,34.1 ,,,
60 ,300 ,"(60°∆,300°∆)",31.5 ,31.6 ,31.7 ,32.9 ,,,
90 ,300 ,"(90°∆,300°∆)",32.7 ,32.8 ,32.9 ,34.0 ,,,
120 ,300 ,"(120°∆,300°∆)",33.5 ,33.6 ,33.7 ,34.9 ,,,
150 ,300 ,"(150°∆,300°∆)",33.7 ,33.8 ,34.0 ,35.2 ,,,
180 ,300 ,"(180°∆,300°∆)",34.7 ,34.7 ,34.4 ,36.2 ,,,
210 ,300 ,"(210°∆,300°∆)",36.6 ,36.6 ,36.8 ,38.3 ,,,
240 ,300 ,"(240°∆,300°∆)",37.2 ,37.2 ,37.4 ,39.0 ,,,
270 ,300 ,"(270°∆,300°∆)",34.7 ,34.7 ,34.9 ,36.5 ,,,
300 ,300 ,"(300°∆,300°∆)",32.5 ,32.5 ,32.2 ,34.3 ,,,
330 ,300 ,"(330°∆,300°∆)",34.4 ,34.4 ,34.1 ,36.1 ,,,
360 ,300 ,"(360°∆,300°∆)",34.1 ,34.1 ,33.8 ,35.8 ,,,
0 ,330 ,"(0°∆,330°∆)",37.0 ,37.0 ,37.1 ,38.9 ,,,
30 ,330 ,"(30°∆,330°∆)",33.9 ,33.9 ,34.2 ,35.5 ,,,
60 ,330 ,"(60°∆,330°∆)",33.3 ,33.3 ,33.6 ,34.8 ,,,
90 ,330 ,"(90°∆,330°∆)",33.4 ,33.5 ,33.6 ,34.9 ,,,
120 ,330 ,"(120°∆,330°∆)",37.3 ,37.4 ,37.6 ,39.3 ,,,
150 ,330 ,"(150°∆,330°∆)",36.2 ,36.3 ,36.4 ,37.9 ,,,
180 ,330 ,"(180°∆,330°∆)",35.9 ,35.9 ,36.1 ,37.2 ,,,
210 ,330 ,"(210°∆,330°∆)",40.5 ,40.5 ,40.3 ,41.9 ,,,
