top_k,mesh_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_seed_ratio,median_seed_ratio,mean_local_ratio_without_happy,median_local_ratio_without_happy,max_local_ratio_without_happy,mean_local_cell_count,median_local_cell_count,mean_local_budget_fraction,median_local_budget_fraction,max_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00
11,5,1.1513719482806941,1.0147593608041465,1.1647163992113352,1.7149398421135411,1.3405156281346493,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,2837.4,2739.0,0.021772392783971882,0.021017334121131666,0.03014863299084568,4,4,5
12,5,1.1513719482806941,1.0147593608041465,1.1647163992113352,1.7149398421135411,1.3405156281346493,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,2969.2,3033.0,0.022783741683995672,0.02327330207717866,0.03132265713123748,4,4,5
13,5,1.1513719482806941,1.0147593608041465,1.1647163992113352,1.7149398421135411,1.3405156281346493,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,3193.6,3181.0,0.024505643756570314,0.024408959415596874,0.03446106153267701,4,4,5
14,5,1.1513719482806941,1.0147593608041465,1.1647163992113352,1.7149398421135411,1.3405156281346493,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,3382.2,3213.0,0.025952839527014066,0.024654506948227836,0.03784501346674749,4,4,5
15,5,1.1513719482806941,1.0147593608041465,1.1647163992113352,1.7149398421135411,1.3405156281346493,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,3594.8,3374.0,0.02758419594693104,0.02588991797177738,0.04122896540081798,4,4,5
16,5,1.1513719482806941,1.0147593608041465,1.1647163992113352,1.7149398421135411,1.3397227585446143,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,3785.0,3815.0,0.029043669094006335,0.029273869905847866,0.042794330921340384,4,4,5
17,5,1.1513719482806941,1.0147593608041465,1.1647163992113352,1.7149398421135411,1.3397227585446143,1.1052506794445995,1.0104799748224824,1.0073796804020732,1.0271605384857836,3923.8,3873.0,0.030108731516793146,0.02971892480874149,0.04348493335686497,4,4,5
18,5,1.1366359948512297,1.0,1.1454916113337177,1.6684206134520023,1.3232087410616264,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,4138.8,3887.0,0.031758504001657445,0.02982635185426754,0.04686888529093546,4,4,5
19,5,1.1366359948512297,1.0,1.1454916113337177,1.6684206134520023,1.3232087410616264,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,4323.2,3958.0,0.03317347165844338,0.030371160442292492,0.04993822944882252,4,4,5
20,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.3113156509175572,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,4424.8,4078.0,0.033953085074546696,0.031291963689658614,0.05188726298908081,4,4,5
21,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.3113156509175572,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,4758.0,4498.0,0.03650984875806662,0.03451477505544003,0.05495660714696787,4,4,5
22,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.3113156509175572,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,5049.0,4612.0,0.03874279663292946,0.03538953814043784,0.05817941851274929,4,4,5
23,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.3113156509175572,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,5221.6,4918.0,0.04006721863705772,0.03773758642122144,0.059936618043139635,4,4,5
24,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.3113156509175572,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,5519.0,5338.0,0.042349276018446756,0.04096039778700286,0.06259160073971194,4,4,5
25,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2954597669585257,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,5744.6,5779.0,0.04408038612349506,0.04434434972107335,0.06566094489759901,4,4,5
26,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2819693642474828,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,5969.6,5980.0,0.045806892212306535,0.0458866951604116,0.06851543496443398,4,4,5
27,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2819693642474828,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,6208.4,6421.0,0.04763929067456511,0.04927064709448209,0.07008080048495638,4,4,5
28,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2819693642474828,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,6422.2,6796.0,0.04927985512695574,0.05214815724250121,0.07330361185073779,4,4,5
29,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2819693642474828,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,6709.8,7029.0,0.05148671357647655,0.05393605021447042,0.07551353964441648,4,4,5
30,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,6777.0,7069.0,0.05200236339500157,0.05424298463025913,0.07603532815125728,4,4,5
31,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,6953.8,7245.0,0.053359013512787656,0.055593496059729436,0.07673360394717658,4,4,5
32,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,7163.4,7417.0,0.05496734985152048,0.05691331404762087,0.08011755588124707,4,4,5
33,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,7399.0,7603.0,0.056775193560515955,0.05834055908103836,0.0833403672470285,4,4,5
34,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,7737.0,8044.0,0.05936878937393053,0.06172451101510885,0.08602604338517968,4,4,5
35,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,7959.8,8130.0,0.06107841406987362,0.062384420009054566,0.08844315190951574,4,4,5
36,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,8138.4,8259.0,0.06244887623637019,0.06337428349997315,0.09052263257648421,4,4,5
37,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,8284.8,8310.0,0.06357225619815686,0.06376562488010375,0.0912516018139824,4,4,5
38,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,8539.2,8652.0,0.06552435908257304,0.06638991413509718,0.09244864603555836,4,4,5
39,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,8690.4,8652.0,0.06668457117425435,0.06638991413509718,0.09544892994989296,4,4,5
40,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,8846.0,8717.0,0.06787854605167241,0.06688868256075384,0.09768955118515052,4,4,5
41,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,8946.6,8790.0,0.068650486107381,0.06744883786956822,0.0980348524029128,4,4,5
42,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,9178.6,9147.0,0.07043070571895552,0.07018822753048243,0.10018339331343375,4,4,5
43,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,9331.6,9528.0,0.07160472985934731,0.07311177784086985,0.10065146829751152,4,4,5
44,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,9462.6,9618.0,0.07260994007105531,0.07380238027639444,0.10141880433698329,4,4,5
45,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,9752.8,9718.0,0.07483674925760238,0.0745697163158662,0.10464161570276471,4,4,5
46,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,9875.6,10138.0,0.07577903791407371,0.07779252768164763,0.10500993700171116,4,4,5
47,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,10196.2,10558.0,0.07823911725662018,0.08101533904742904,0.10777234674380952,4,4,5
48,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,10443.4,10999.0,0.0801359719461944,0.08439929098149952,0.10911518481288511,4,4,5
49,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,10631.0,11237.0,0.08157549435624342,0.08622555075544233,0.10984415405038328,4,4,5
50,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,1.2664197319513448,1.0693454680858767,1.0036898402010366,1.0,1.0147593608041465,10774.2,11264.0,0.082674319564767,0.0864327314860997,0.11199269496090423,4,4,5
