mesh,group,sftf,uniform,hybrid25,nn_frac,nn_mean_deg,score_cv,top_k_used,oracle,fixed_route,loo_t1,loo_t2,loo_route,fixed_ratio,loo_ratio,oracle_ratio,fixed_h25_ratio,loo_h25_ratio
Group_C8_kidney_12k,C,1.0302917144141157,1.2615656402855102,1.2615656402855102,0.9,3.657112442925137,1.7607577514495032,20,SFTF,SFTF,0.75,1.5,uniform,1.0302917144141157,1.2615656402855102,1.0302917144141157,1.2615656402855102,1.2615656402855102
Group_D10_37416,D,1.0538837377896222,1.0308768244293531,1.0308768244293531,0.8,4.352595035955489,0.9014083450487048,20,uniform,SFTF,0.75,2.0,SFTF,1.0538837377896222,1.0538837377896222,1.0308768244293531,1.0308768244293531,1.0308768244293531
Group_D1_37009,D,34.03656384860017,1.363701930476701,1.363701930476701,0.0,7.983486569661058,0.43360519858568075,20,uniform,uniform,0.75,2.0,uniform,1.363701930476701,1.363701930476701,1.363701930476701,1.363701930476701,1.363701930476701
Group_D6_37111,D,2.190105502608383,1.018216121281805,1.018216121281805,0.7,4.697939761000815,0.694631437847646,20,uniform,uniform,0.75,2.0,uniform,1.018216121281805,1.018216121281805,1.018216121281805,1.018216121281805,1.018216121281805
Group_D7_37137,D,1.1263621843831357,1.0,1.0,0.35,6.895767597428983,0.4315911972762525,20,uniform,uniform,0.75,2.0,uniform,1.0,1.0,1.0,1.0,1.0
Group_D8_37402,D,1.2877379564790905,1.1292247552721497,1.1292247552721497,0.2,9.820630957760944,0.47328500677271007,20,uniform,uniform,0.75,2.0,uniform,1.1292247552721497,1.1292247552721497,1.1292247552721497,1.1292247552721497,1.1292247552721497
Group_D9_37415,D,1.4167926026722892,1.0,1.0864314725972437,0.0,9.218126253954722,0.4062588181149372,20,uniform,uniform,0.75,2.0,uniform,1.0,1.0,1.0,1.0,1.0
Group_E10_65942,E,5.331558189275419,1.7616112085120645,1.7616112085120645,0.6,7.63178154331887,0.25569882480555156,20,uniform,uniform,0.75,2.0,uniform,1.7616112085120645,1.7616112085120645,1.7616112085120645,1.7616112085120645,1.7616112085120645
Group_E1_39507,E,3.134331575647134,1.4791667683388925,1.4791667683388925,0.7,4.348321935200954,0.4787976935364964,20,uniform,uniform,0.75,2.0,uniform,1.4791667683388925,1.4791667683388925,1.4791667683388925,1.4791667683388925,1.4791667683388925
Group_E2_790253,E,2.7435616673823238,1.3544815571988833,1.4250248925431632,0.85,3.6791129408575935,2.490002543307715,20,uniform,uniform,0.75,2.0,uniform,1.3544815571988833,1.3544815571988833,1.3544815571988833,1.3544815571988833,1.3544815571988833
Group_E4_439142,E,1.002951544276334,1.0,1.0,0.55,6.930574252602116,0.1836936837334037,20,uniform,uniform,0.75,2.0,uniform,1.0,1.0,1.0,1.0,1.0
Group_E5_55280,E,1.236077323980503,1.151458473377341,1.151458473377341,0.45,5.99196078949952,0.3744867386577359,20,uniform,uniform,0.75,2.0,uniform,1.151458473377341,1.151458473377341,1.151458473377341,1.151458473377341,1.151458473377341
Group_E7_61384,E,1.1631958252108923,2.0994653284243605,1.1204116212733026,0.8,7.837548191879916,0.8107126814296234,20,SFTF,SFTF,0.9,2.0,uniform,1.1631958252108923,2.0994653284243605,1.1631958252108923,1.1204116212733026,2.0994653284243605
Group_E9_82675,E,5.676225147316883,1.2155369524365036,4.015897007168533,0.85,3.6416526689832858,2.9504452140503985,20,uniform,uniform,0.75,2.0,uniform,1.2155369524365036,1.2155369524365036,1.2155369524365036,1.2155369524365036,1.2155369524365036
