mesh,metric,key,value
Group_C5_lucy_50k.ply,pearson,H_hit,-0.7241690553933009
Group_C5_lucy_50k.ply,spearman,H_hit,-0.8159759287392119
Group_C5_lucy_50k.ply,pearson,S_nuclear,-0.029986432074442137
Group_C5_lucy_50k.ply,spearman,S_nuclear,-0.28793278269771155
Group_C5_lucy_50k.ply,pearson,sigma1,0.25670587997322
Group_C5_lucy_50k.ply,spearman,sigma1,0.07391739656086921
Group_C5_lucy_50k.ply,ablation_best3_ratio,J = R+P+B,1.2007361995137988
Group_C5_lucy_50k.ply,ablation_spearman,J = R+P+B,0.6804178833386114
Group_C5_lucy_50k.ply,ablation_best3_ratio,old J (+0.05S+0.05s1),1.2007361995137988
Group_C5_lucy_50k.ply,ablation_spearman,old J (+0.05S+0.05s1),0.6784761027729131
Group_C5_lucy_50k.ply,ablation_best3_ratio,T_rank_tuned,1.2007361995137988
Group_C5_lucy_50k.ply,ablation_spearman,T_rank_tuned,0.6869407248936125
Group_C5_lucy_50k.ply,ablation_best3_ratio,bed_only (B),1.2007361995137988
Group_C5_lucy_50k.ply,ablation_spearman,bed_only (B),0.717748208466164
Group_C5_lucy_50k.ply,ablation_best3_ratio,tensor_only (0.05S+0.05s1),2.6633377577587267
Group_C5_lucy_50k.ply,ablation_spearman,tensor_only (0.05S+0.05s1),-0.15790367576955955
Group_C5_lucy_50k.ply,ablation_best3_ratio,pair_only (P),3.6786707785129797
Group_C5_lucy_50k.ply,ablation_spearman,pair_only (P),-0.6749947167243039
