mesh,top_k,window_degrees,face_count,candidate_pool_size,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,pool_oracle_ratio,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_cell_count,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,elapsed_sec
Group_C3_dragon_100k_1.5x.ply,10,10.0,99999,1292,161.99999767787153,257.9999866889366,24446.98002712786,1.288711162780426,6,171.00000134341394,259.0000083456965,31505.09605722979,1.288711162780426,3634,161.99999767787153,257.9999866889366,24446.98002712786,1.0,3.1308385000011185
Group_C3_dragon_100k_1.5x.ply,20,10.0,99999,1292,161.99999767787153,257.9999866889366,24446.98002712786,1.288711162780426,6,171.00000134341394,259.0000083456965,31505.09605722979,1.288711162780426,6949,161.99999767787153,257.9999866889366,24446.98002712786,1.0,3.1308385000011185
Group_C4_happy_50k_0.75x.ply,3,10.0,49944,1292,90.99999684048139,110.99999967376182,2112.4674268990507,4.348005783042627,3,252.99998768816374,289.0000023503334,23727.487926640788,11.232120138046826,1260,261.99999135370615,279.00000434878774,17990.9871629447,8.516574946366944,1.4717877999937627
Group_C4_happy_50k_0.75x.ply,5,10.0,49944,1292,90.99999684048139,110.99999967376182,2112.4674268990507,4.348005783042627,3,252.99998768816374,289.0000023503334,23727.487926640788,11.232120138046826,1577,261.99999135370615,279.00000434878774,17990.9871629447,8.516574946366944,1.4717877999937627
Group_C4_happy_50k_0.75x.ply,10,10.0,49944,1292,90.99999684048139,110.99999967376182,2112.4674268990507,4.348005783042627,3,252.99998768816374,289.0000023503334,23727.487926640788,11.232120138046826,2872,261.99999135370615,279.00000434878774,17990.9871629447,8.516574946366944,1.4717877999937627
Group_C4_happy_50k_0.75x.ply,20,10.0,49944,1292,90.99999684048139,110.99999967376182,2112.4674268990507,4.348005783042627,20,279.99999868479097,73.99999750577815,20891.50089862918,9.889620371234027,5938,118.99999534292266,90.99999684048139,3330.4208566334623,1.5765548922675126,1.4717877999937627
Group_C5_lucy_50k.ply,3,10.0,49999,1292,181.99999368096277,358.99998836115276,5036.138305979327,1.0193965361246327,1,357.99999402514953,176.99999468018999,14192.6816672333,2.8181675730355846,941,181.99999368096277,358.99998836115276,5036.138305979327,1.0,1.8303338000114309
Group_C5_lucy_50k.ply,5,10.0,49999,1292,181.99999368096277,358.99998836115276,5036.138305979327,1.0193965361246327,1,357.99999402514953,176.99999468018999,14192.6816672333,2.8181675730355846,1445,181.99999368096277,358.99998836115276,5036.138305979327,1.0,1.8303338000114309
Group_C5_lucy_50k.ply,10,10.0,49999,1292,181.99999368096277,358.99998836115276,5036.138305979327,1.0193965361246327,6,357.99999402514953,181.99999368096277,13939.90083174272,2.7679741867279732,2555,181.99999368096277,358.99998836115276,5036.138305979327,1.0,1.8303338000114309
Group_C5_lucy_50k.ply,20,10.0,49999,1292,181.99999368096277,358.99998836115276,5036.138305979327,1.0193965361246327,6,357.99999402514953,181.99999368096277,13939.90083174272,2.7679741867279732,3848,181.99999368096277,358.99998836115276,5036.138305979327,1.0,1.8303338000114309
