mesh,group,ranking,top_k,local_cell_count,local_budget_fraction,tomo_best_vss,local_best_ratio
Group_C2_manikin,C,tuned,5,1506,0.011556080754444795,2956.1209284569604,1.0691446984387574
Group_C2_manikin,C,tuned,10,2050,0.0157303888091712,2956.1209284569604,1.0
Group_C2_manikin,C,tuned,20,2794,0.02143936894284114,2956.1209284569604,1.0
Group_C2_manikin,C,rtilde,5,1152,0.008839711174714743,2956.1209284569604,1.2044571177758303
Group_C2_manikin,C,rtilde,10,1557,0.011947422134575395,2956.1209284569604,1.0178341201119203
Group_C2_manikin,C,rtilde,20,2382,0.018277944460217462,2956.1209284569604,1.0
Group_C3_dragon_100k_1.5x,C,tuned,5,2082,0.015975936341802166,28106.973190938144,1.0271605384857836
Group_C3_dragon_100k_1.5x,C,tuned,10,3634,0.02788499167440397,28106.973190938144,1.0271605384857836
Group_C3_dragon_100k_1.5x,C,tuned,20,6762,0.05188726298908081,28106.973190938144,1.0
Group_C3_dragon_100k_1.5x,C,rtilde,5,1981,0.015200926941935682,28106.973190938144,1.060016437904428
Group_C3_dragon_100k_1.5x,C,rtilde,10,3279,0.025160948734279202,28106.973190938144,1.0390936523105603
Group_C3_dragon_100k_1.5x,C,rtilde,20,5686,0.04363072720436461,28106.973190938144,1.0
Group_C4_happy_50k_0.75x,C,tuned,5,1577,0.012100889342469747,8512.6398023495,1.9688018523900144
Group_C4_happy_50k_0.75x,C,tuned,10,2872,0.022037891053629115,8512.6398023495,1.840617333716181
Group_C4_happy_50k_0.75x,C,tuned,20,5724,0.04392231489936388,8512.6398023495,1.6621244595083648
Group_C4_happy_50k_0.75x,C,rtilde,5,1678,0.012875898742336231,8512.6398023495,1.9571891159703132
Group_C4_happy_50k_0.75x,C,rtilde,10,3316,0.025444863068883758,8512.6398023495,1.6621244595083648
Group_C4_happy_50k_0.75x,C,rtilde,20,6410,0.04918624013014019,8512.6398023495,1.6621244595083648
Group_C5_lucy_50k,C,tuned,5,1445,0.011088005770367016,7605.40144502624,1.0
Group_C5_lucy_50k,C,tuned,10,1966,0.015085826536014917,7605.40144502624,1.0
Group_C5_lucy_50k,C,tuned,20,2766,0.021224514851789045,7605.40144502624,1.0
Group_C5_lucy_50k,C,rtilde,5,1166,0.00894713822024079,7605.40144502624,1.0
Group_C5_lucy_50k,C,rtilde,10,1672,0.012829858579967926,7605.40144502624,1.0
Group_C5_lucy_50k,C,rtilde,20,2292,0.017587342024692875,7605.40144502624,1.0
Group_C6_nefertiti_100k,C,tuned,5,1595,0.012239009829574666,108607.88332361603,2.2685387166172277
Group_C6_nefertiti_100k,C,tuned,10,2369,0.018178190775086134,108607.88332361603,2.2685387166172277
Group_C6_nefertiti_100k,C,tuned,20,3970,0.030463240767029106,108607.88332361603,2.2685387166172277
Group_C6_nefertiti_100k,C,rtilde,5,2085,0.015998956422986318,108607.88332361603,2.2851656854014863
Group_C6_nefertiti_100k,C,rtilde,10,3143,0.0241173717205976,108607.88332361603,2.2685387166172277
Group_C6_nefertiti_100k,C,rtilde,20,4788,0.03674004956990815,108607.88332361603,2.2685387166172277
Group_C7_liver_19k,C,tuned,5,1832,0.014057596243122751,2898.9211586881274,26.741246249958582
Group_C7_liver_19k,C,tuned,10,2589,0.01986633006192402,2898.9211586881274,26.741246249958582
Group_C7_liver_19k,C,tuned,20,3522,0.027025575310195595,2898.9211586881274,15.850802770124055
Group_C7_liver_19k,C,rtilde,5,1254,0.009622393934975944,2898.9211586881274,27.25782765655016
Group_C7_liver_19k,C,rtilde,10,2198,0.016866046147589416,2898.9211586881274,23.927490787918643
Group_C7_liver_19k,C,rtilde,20,3417,0.026219872468750238,2898.9211586881274,22.963342160958447
Group_C8_kidney_12k,C,tuned,5,1573,0.012070195900890876,969.2408575499353,1.1041639163839514
Group_C8_kidney_12k,C,tuned,10,2369,0.018178190775086134,969.2408575499353,1.1041639163839514
Group_C8_kidney_12k,C,tuned,20,3607,0.027677810943746595,969.2408575499353,1.0302917144141157
Group_C8_kidney_12k,C,rtilde,5,1493,0.011456327069313465,969.2408575499353,1.1581854194759786
Group_C8_kidney_12k,C,rtilde,10,2270,0.017418528096009085,969.2408575499353,1.144979234227269
