stem,family,group_id,angle_step,critical_angle,grid_path,candidate_path,has_candidate,candidate_count,tomo_best_vss,usable,skip_reason
Group_B5_hollow_box,B,B5,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B5_hollow_box_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B5_hollow_box_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_C1_Bunny_69k,C,C1,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,True,1292,49783.844593142676,True,usable
Group_C1_Bunny_69k,C,C1,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,True,1292,23663.82031401327,True,usable
Group_C1_Bunny_69k,C,C1,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,True,1292,13970.321860195192,True,usable
Group_C1_Bunny_69k,C,C1,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,True,1292,5146.688666225465,True,usable
Group_C2_manikin,C,C2,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,True,1292,48237.769071720846,True,usable
Group_C2_manikin,C,C2,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,True,1292,36182.052832989655,True,usable
Group_C2_manikin,C,C2,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,True,1292,27812.445459287028,True,usable
Group_C2_manikin,C,C2,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,True,1292,5016.0810967122225,True,usable
Group_C3_dragon_100k_1.5x,C,C3,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,True,1292,217046.31206417872,True,usable
Group_C3_dragon_100k_1.5x,C,C3,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,True,1292,119415.71669145064,True,usable
Group_C3_dragon_100k_1.5x,C,C3,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,True,1292,84497.12075477789,True,usable
Group_C3_dragon_100k_1.5x,C,C3,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,True,1292,24446.98002712786,True,usable
Group_C4_happy_50k_0.75x,C,C4,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,True,1292,61815.58498666306,True,usable
Group_C4_happy_50k_0.75x,C,C4,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,True,1292,33012.18127416185,True,usable
Group_C4_happy_50k_0.75x,C,C4,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,True,1292,20912.9211331202,True,usable
Group_C4_happy_50k_0.75x,C,C4,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,True,1292,6592.139724857551,True,usable
Group_C5_lucy_50k,C,C5,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,True,1292,153809.30309453286,True,usable
Group_C5_lucy_50k,C,C5,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,True,1292,69481.02210178848,True,usable
Group_C5_lucy_50k,C,C5,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,True,1292,37083.20018673731,True,usable
