mesh,group,stage,triggered,trigger_reasons,face_count,candidate_count,candidate_center_count,window_degrees,full_grid_cells,local_cell_count,local_budget_fraction,bbox_volume,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,normalized_local_vss,seed_to_local_gain
Group_C3_dragon_100k_1.5x,C,base_top_k,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain;boundary_plateau,99999,512,10,10.0,130321,4328,0.03321030378833803,1487645.696065514,130.99999567685308,257.9999866889366,28106.973190938144,7,341.00000835082466,308.99999835342464,56618.982110141726,2.014410506798933,260.9999970177029,279.00000434878774,43188.07538875863,1.5365608774509638,0.02903115674853314,1.310986460972952
Group_C3_dragon_100k_1.5x,C,adaptive_final,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain;boundary_plateau,99999,512,200,10.0,130321,53279,0.40882896847016215,1487645.696065514,130.99999567685308,257.9999866889366,28106.973190938144,73,309.99999268942787,279.99999868479097,29776.33279217176,1.0593930762267858,130.99999567685308,257.9999866889366,28106.973190938144,1.0,0.0188935935923955,1.0593930762267858
Group_C4_happy_50k_0.75x,C,base_top_k,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain;boundary_plateau,49944,512,10,10.0,130321,4328,0.03321030378833803,349764.91179481667,346.00000735159745,31.999999752116263,8512.6398023495,9,332.9999990212855,34.99999983559887,10725.307070519313,1.2599272751513713,342.9999970228311,30.99999858592387,9120.318515241639,1.0713854605623532,0.02607556735305659,1.175979441134151
Group_C4_happy_50k_0.75x,C,adaptive_final,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain;boundary_plateau,49944,512,200,10.0,130321,53500,0.41052478111739477,349764.91179481667,346.00000735159745,31.999999752116263,8512.6398023495,78,348.9999903596071,30.000000834826057,10197.354742318146,1.1979074622073944,346.00000735159745,31.999999752116263,8512.6398023495,1.0,0.024338175486691725,1.1979074622073944
Group_C5_lucy_50k,C,base_top_k,False,low_seed_to_local_gain,49999,512,10,10.0,130321,4285,0.032880349291365164,1133888.2427607272,178.00000267657154,358.99998836115276,7605.40144502624,1,0.0,176.00000034418676,8023.081732190345,1.054918900755365,0.0,178.00000267657154,7849.361285690434,1.0320771812543488,0.006922517572436638,1.0221317939354642
Group_C5_lucy_50k,C,adaptive_final,False,low_seed_to_local_gain,49999,512,10,10.0,130321,4285,0.032880349291365164,1133888.2427607272,178.00000267657154,358.99998836115276,7605.40144502624,1,0.0,176.00000034418676,8023.081732190345,1.054918900755365,0.0,178.00000267657154,7849.361285690434,1.0320771812543488,0.006922517572436638,1.0221317939354642
Group_C6_nefertiti_100k,C,base_top_k,False,boundary_local_minimum,99938,512,10,10.0,130321,4348,0.03336377099623238,42799056.1640895,163.0000056742531,1.9999999845072665,108607.88332361603,10,224.00000167990842,161.0000033418683,476140.3468686339,4.3840311798535945,97.999998173639,209.99999901359323,271912.0445199427,2.5036124100654242,0.006353225255188927,1.7510822211250467
Group_C6_nefertiti_100k,C,adaptive_final,False,boundary_local_minimum,99938,512,10,10.0,130321,4348,0.03336377099623238,42799056.1640895,163.0000056742531,1.9999999845072665,108607.88332361603,10,224.00000167990842,161.0000033418683,476140.3468686339,4.3840311798535945,97.999998173639,209.99999901359323,271912.0445199427,2.5036124100654242,0.006353225255188927,1.7510822211250467
Group_C7_liver_19k,C,base_top_k,False,boundary_local_minimum;high_seed_to_local_gain,19416,512,10,10.0,130321,4347,0.03335609763583766,5192400.218480483,3.0000000834826057,312.000008682191,2898.9211586881274,6,18.000000500895634,226.00000401229323,23669.562063926507,8.164955432812766,351.0000063523703,313.0000030181942,7574.480919798543,2.6128619942276337,0.0014587629229426307,3.1249087976521093
Group_C7_liver_19k,C,adaptive_final,False,boundary_local_minimum;high_seed_to_local_gain,19416,512,10,10.0,130321,4347,0.03335609763583766,5192400.218480483,3.0000000834826057,312.000008682191,2898.9211586881274,6,18.000000500895634,226.00000401229323,23669.562063926507,8.164955432812766,351.0000063523703,313.0000030181942,7574.480919798543,2.6128619942276337,0.0014587629229426307,3.1249087976521093
