mesh,group,split,optimum_sign_class,ratio_defined,tomo_best_yaw_deg,tomo_best_pitch_deg,tomo_best_vss,bbox_volume,nn_frac,score_cv,fixed_route,selected_source,verification_count,escalated,selected_yaw_deg,selected_pitch_deg,selected_vss,ratio_to_exhaustive_optimum,sftf_ave_vss,uniform_ave_vss,selected_branch_has_lower_surrogate_excess,sftf_grid_range_normalized_regret,uniform_grid_range_normalized_regret,grid_min_vss,grid_max_vss,grid_range_vss,surrogate_excess_vss,absolute_surrogate_error_vss,bbox_normalized_surrogate_excess,grid_range_normalized_regret,selected_grid_strictly_better_fraction,selected_value_tie_fraction,global_optimum_plateau_fraction,selected_is_global_optimum,nonnegative_clipped_excess_vss
Group_C1_Bunny_69k,C,calibration,positive,True,299.000000351879,36.99999875288908,4440.337173209703,329847.7240470774,0.85,0.2686360249642574,SFTF,calibrated SFTF axes (up to 200),50,True,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,4505.873711641169,4440.337173209703,False,0.0018160747940743362,0.0,4440.337173209703,40527.253111531914,36086.915938322214,65.5365384314664,65.5365384314664,0.00019868725370411443,0.0018160747940743362,3.836680197358829e-05,7.673360394717659e-06,7.673360394717659e-06,False,65.5365384314664
Group_C2_manikin,C,calibration,positive,True,190.00000301050196,9.000000250447817,2956.1209284569604,781290.2312873882,0.95,0.341551649340822,SFTF,calibrated SFTF axes (up to 200),10,False,190.00000301050196,9.000000250447817,2956.1209284569604,1.0,2956.1209284569604,3008.8407441604236,True,0.0,0.0005800249736429781,2956.1209284569604,93848.4412579497,90892.32032949274,0.0,0.0,0.0,0.0,0.0,7.673360394717659e-06,7.673360394717659e-06,True,0.0
Group_C3_dragon_100k_1.5x,C,calibration,positive,True,130.99999567685308,257.9999866889366,28106.973190938144,1487645.696065514,0.9,1.272627696046596,SFTF,calibrated SFTF axes (up to 200),200,True,130.99999567685308,257.9999866889366,28106.973190938144,1.0,28106.973190938144,28106.973190938144,True,0.0,0.0,28106.973190938144,259427.69326454352,231320.72007360536,0.0,0.0,0.0,0.0,0.0,7.673360394717659e-06,7.673360394717659e-06,True,0.0
Group_C4_happy_50k_0.75x,C,calibration,positive,True,346.00000735159745,31.999999752116263,8512.6398023495,349764.91179481667,0.85,0.33226350590188625,SFTF,calibrated SFTF axes (up to 200),50,True,274.0000053480149,82.00000000512816,14149.066830469557,1.6621244595083648,14149.066830469557,8512.6398023495,False,0.07508701174943258,0.0,8512.6398023495,83577.91270106292,75065.27289871342,5636.427028120057,5636.427028120057,0.016114901289545493,0.07508701174943258,0.03350956484373201,7.673360394717659e-06,7.673360394717659e-06,False,5636.427028120057
Group_C5_lucy_50k,C,calibration,positive,True,178.00000267657154,358.99998836115276,7605.40144502624,1133888.2427607272,0.85,0.3359827470267685,SFTF,calibrated SFTF axes (up to 200),10,False,178.00000267657154,358.99998836115276,7605.40144502624,1.0,7605.40144502624,7849.361285690434,True,0.0,0.0012225066795098127,7605.40144502624,207162.46297536802,199557.06153034177,0.0,0.0,0.0,0.0,0.0,7.673360394717659e-06,7.673360394717659e-06,True,0.0
Group_C6_nefertiti_100k,C,retrospective_test,positive,True,163.0000056742531,1.9999999845072665,108607.88332361603,42799056.1640895,0.55,0.8261004478605948,uniform,first 200 farthest-point uniform axes,10,False,97.999998173639,209.99999901359323,271912.0445199427,2.5036124100654242,246381.1882494695,271912.0445199427,False,0.016091827137030525,0.0190738135674637,108607.88332361603,8670302.198869016,8561694.3155454,163304.1611963267,163304.1611963267,0.003815601927533787,0.0190738135674637,0.0023787417223624743,7.673360394717659e-06,7.673360394717659e-06,False,163304.1611963267
Group_C7_liver_19k,C,retrospective_test,positive,True,3.0000000834826057,312.000008682191,2898.9211586881274,5192400.218480483,0.55,0.41669559920404275,uniform,first 200 farthest-point uniform axes,10,False,351.0000063523703,313.0000030181942,7574.480919798543,2.6128619942276337,4299.315539273349,7574.480919798543,False,0.0016036873973013434,0.005354303307821473,2898.9211586881274,876132.933561467,873234.0124027788,4675.559761110416,4675.559761110416,0.0009004621301088157,0.005354303307821473,0.01314446635615135,7.673360394717659e-06,7.673360394717659e-06,False,4675.559761110416
Group_C8_kidney_12k,C,retrospective_test,positive,True,33.99999866940647,185.99999834573237,969.2408575499353,325896.32017962524,0.9,1.7607577514495032,SFTF,calibrated SFTF axes (up to 200),10,False,30.99999858592387,183.99999601334758,1070.200781191676,1.1041639163839514,1070.200781191676,1076.6010146495726,True,0.003575180053885345,0.0038018243120573176,969.2408575499353,29208.356683904476,28239.11582635454,100.95992364174072,100.95992364174072,0.00030979154224906354,0.003575180053885345,0.00036064793855172995,7.673360394717659e-06,7.673360394717659e-06,False,100.95992364174072
Group_D10_37416,D,calibration,positive,True,303.0000050166486,175.00000600818353,1992.4407901842733,667218.4779198016,0.8,0.9191599259648715,SFTF,calibrated SFTF axes (up to 200),10,False,127.00000467246183,7.000000052497138,2100.600930284863,1.0542852468356594,2100.600930284863,2000.3610652340344,False,0.002380300380926822,0.00017430297058101583,1992.4407901842733,47432.14284092927,45439.702050745,108.16014010058962,108.16014010058962,0.0001621060322516881,0.002380300380926822,6.906024355245893e-05,7.673360394717659e-06,7.673360394717659e-06,False,108.16014010058962
Group_D1_37009,D,calibration,positive,True,139.00000500639226,180.99999934495955,277.04001827673477,548704.4630490786,0.0,0.43360519858568075,uniform,first 200 farthest-point uniform axes,10,False,137.00000267400745,178.00000267657154,377.80000774328374,1.363701930476701,277.04001827673477,377.80000774328374,False,0.0,0.0014291723780015834,277.04001827673477,70779.37480831935,70502.33479004262,100.75998946654897,100.75998946654897,0.0001836325312658092,0.0014291723780015834,0.0008594163642083778,7.673360394717659e-06,7.673360394717659e-06,False,100.75998946654897
