mesh,coarse_count,top_k,window_degrees,candidate_pool_size,elapsed_sec,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,pool_oracle_vss,pool_oracle_ratio,pool_hard_case,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_cell_count,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,local_hard_case
Group_C1_Bunny_69k.ply,4096,10,10.0,4876,6.241795800000546,265.00000168247254,48.9999990868195,3201.394288007878,5186.532154556148,1.620085402783534,False,8,232.9999916850725,57.0000015861695,5315.568821489318,1.66039179909858,2528,265.00000168247254,48.9999990868195,3201.394288007878,1.0,False
Group_C1_Bunny_69k.ply,4096,20,10.0,4876,6.241795800000546,265.00000168247254,48.9999990868195,3201.394288007878,5186.532154556148,1.620085402783534,False,8,232.9999916850725,57.0000015861695,5315.568821489318,1.66039179909858,4162,265.00000168247254,48.9999990868195,3201.394288007878,1.0,False
Group_C2_manikin.ply,512,3,10.0,1292,1.0632012999994913,192.99999967889,7.000000052497138,4657.721223909993,5248.920976623031,1.1269289689726742,False,1,181.99999368096277,353.99998936037997,8675.961455037772,1.862705180915617,1133,185.99999834573237,353.99998936037997,5371.9208260213045,1.153336700025118,False
Group_C2_manikin.ply,512,10,10.0,1292,1.0632012999994913,192.99999967889,7.000000052497138,4657.721223909993,5248.920976623031,1.1269289689726742,False,10,3.999999969014533,183.99999601334758,7410.920848531171,1.5911044247319646,2050,192.99999967889,7.000000052497138,4657.721223909993,1.0,False
Group_C2_manikin.ply,512,20,10.0,1292,1.0632012999994913,192.99999967889,7.000000052497138,4657.721223909993,5248.920976623031,1.1269289689726742,False,10,3.999999969014533,183.99999601334758,7410.920848531171,1.5911044247319646,2794,192.99999967889,7.000000052497138,4657.721223909993,1.0,False
Group_C2_manikin.ply,1024,3,10.0,1804,1.3656218999967678,192.99999967889,7.000000052497138,4657.721223909993,5168.881298096712,1.1097446690374524,False,1,3.0000000834826057,183.99999601334758,8500.441046785718,1.8250214296101426,1155,12.000000333930423,173.99999801180195,5016.0810967122225,1.0769388839681133,False
Group_C2_manikin.ply,1024,10,10.0,1804,1.3656218999967678,192.99999967889,7.000000052497138,4657.721223909993,5168.881298096712,1.1097446690374524,False,1,3.0000000834826057,183.99999601334758,8500.441046785718,1.8250214296101426,2069,192.99999967889,7.000000052497138,4657.721223909993,1.0,False
Group_C2_manikin.ply,1024,20,10.0,1804,1.3656218999967678,192.99999967889,7.000000052497138,4657.721223909993,5168.881298096712,1.1097446690374524,False,14,7.999999938029066,173.99999801180195,6814.241409301758,1.4629989820604683,2842,192.99999967889,7.000000052497138,4657.721223909993,1.0,False
Group_C2_manikin.ply,2048,3,10.0,2828,2.112278200002038,192.99999967889,7.000000052497138,4657.721223909993,4942.041290693047,1.0610427402403395,False,1,180.99999934495955,355.00001101713985,9139.281659086873,1.96217876075777,1104,188.9999950141204,4.99999985454646,5248.920976623031,1.1269289689726742,False
Group_C2_manikin.ply,2048,10,10.0,2828,2.112278200002038,192.99999967889,7.000000052497138,4657.721223909993,4942.041290693047,1.0610427402403395,False,7,1.9999999845072665,173.99999801180195,8549.24099504455,1.8354986449506234,2302,12.000000333930423,173.99999801180195,5016.0810967122225,1.0769388839681133,False
