name,mesh_stem,family,group_id,split_group,source,angle_step,critical_angle,grid_path,candidate_path,tomo_best_vss,oracle_ratio,untuned_J_ratio
Group_D6_37111_3deg_30deg,Group_D6_37111,D,D6,D,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,58981.94667721583,1.0327538869379655,1.45374937520825
Group_D6_37111_3deg_45deg,Group_D6_37111,D,D6,D,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,38744.67424124726,1.014026508212745,1.1223354730173
Group_D6_37111_3deg_60deg,Group_D6_37111,D,D6,D,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,9703.401691657453,1.253970642375463,2.0420984039048196
Group_D7_37137_3deg_0deg,Group_D7_37137,D,D7,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,92046.21748490767,1.0,1.1478708257453882
Group_D7_37137_3deg_30deg,Group_D7_37137,D,D7,D,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,55201.8457207798,1.0,1.1191469075083065
Group_D7_37137_3deg_45deg,Group_D7_37137,D,D7,D,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,29036.612550089183,1.0780488089555693,1.4627719644303756
Group_D7_37137_3deg_60deg,Group_D7_37137,D,D7,D,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D7_37137_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D7_37137_candidates.csv,6586.240835426268,1.1639782435063606,4.358423147092676
Group_D8_37402_3deg_0deg,Group_D8_37402,D,D8,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,46794.103196829805,1.0018103028939245,1.439073403841049
Group_D8_37402_3deg_30deg,Group_D8_37402,D,D8,D,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,33703.614857571185,1.0,1.2046608969521566
Group_D8_37402_3deg_45deg,Group_D8_37402,D,D8,D,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,17030.422352562266,1.0567175776626112,1.338754753345521
