source,outer_key,name,group,oracle,untuned_J,raw_R+B,raw_R+P+B,selected_model,selected_alpha,selected,B_nested,B_alpha,B_inner_score,R+B_nested,R+B_alpha,R+B_inner_score,R+P+B_nested,R+P+B_alpha,R+P+B_inner_score,full7_nested,full7_alpha,full7_inner_score
g5_3deg_0deg,Group_D5_37095,Group_D5_37095_3deg_0deg,Group_D5_37095,1.0418500479476032,1.0915144147253715,1.05258816204122,1.0915144147253715,B,0.01,1.05258816204122,1.05258816204122,0.01,2.838946032333535,1.469673682958421,0.01,3.03373168142242,1.0915144147253715,100.0,3.0756720125504167,1.5193007246902728,100.0,3.602237627456114
g5_3deg_30deg,Group_D5_37095,Group_D5_37095_3deg_30deg,Group_D5_37095,1.0050329878012147,1.1094578849258703,1.0190725465212407,1.1094578849258703,B,0.01,1.1081112692983872,1.1081112692983872,0.01,2.838946032333535,1.0618425105362785,0.01,3.03373168142242,1.1094578849258703,100.0,3.0756720125504167,1.0873499822345147,100.0,3.602237627456114
g5_3deg_45deg,Group_D5_37095,Group_D5_37095_3deg_45deg,Group_D5_37095,1.2413792783126263,125.33521048745074,121.52280655330976,125.33521048745074,B,0.01,123.1627920062058,123.1627920062058,0.01,2.838946032333535,121.52280655330976,0.01,3.03373168142242,125.33521048745074,100.0,3.0756720125504167,125.75176353113233,100.0,3.602237627456114
g5_3deg_0deg,Group_D6_37111,Group_D6_37111_3deg_0deg,Group_D6_37111,1.0433482148638864,1.5674199757870884,1.668032036302364,1.5674199757870884,B,0.01,1.8735880072274833,1.8735880072274833,0.01,4.041540543559177,1.613997691216173,0.01,4.213151066813485,1.2671619955335545,0.01,4.305747735267285,1.1932808336220835,0.01,4.841094058780604
g5_3deg_30deg,Group_D6_37111,Group_D6_37111_3deg_30deg,Group_D6_37111,1.0327538869379655,1.45374937520825,1.8769084251893853,1.45374937520825,B,0.01,1.9953446876114744,1.9953446876114744,0.01,4.041540543559177,1.866699155949023,0.01,4.213151066813485,1.4341634692406697,0.01,4.305747735267285,1.3950846619964326,0.01,4.841094058780604
g5_3deg_45deg,Group_D6_37111,Group_D6_37111_3deg_45deg,Group_D6_37111,1.014026508212745,1.1223354730173,2.297489439739129,1.1223354730173,B,0.01,2.028361610997928,2.028361610997928,0.01,4.041540543559177,1.1223354730173,0.01,4.213151066813485,1.7801952262433542,0.01,4.305747735267285,1.7239398800000405,0.01,4.841094058780604
g5_3deg_60deg,Group_D6_37111,Group_D6_37111_3deg_60deg,Group_D6_37111,1.253970642375463,2.0420984039048196,5.464090041365956,2.0420984039048196,B,0.01,3.2082865527036715,3.2082865527036715,0.01,4.041540543559177,2.192034408612631,0.01,4.213151066813485,5.1485127364135135,0.01,4.305747735267285,4.542742621148886,0.01,4.841094058780604
g5_3deg_0deg,Group_D7_37137,Group_D7_37137_3deg_0deg,Group_D7_37137,1.0,1.1478708257453882,1.2154240589549512,1.1478708257453882,B,0.01,1.5339723590440373,1.5339723590440373,0.01,4.032658195420304,1.130312574816254,100.0,4.238400158695178,1.130312574816254,100.0,4.317607918790867,1.1840437887653088,0.01,4.84112240910675
g5_3deg_30deg,Group_D7_37137,Group_D7_37137_3deg_30deg,Group_D7_37137,1.0,1.1191469075083065,1.0941763304726821,1.1191469075083065,B,0.01,1.2911966119365499,1.2911966119365499,0.01,4.032658195420304,1.018373736397367,100.0,4.238400158695178,1.018373736397367,100.0,4.317607918790867,1.2081605303800764,0.01,4.84112240910675
g5_3deg_45deg,Group_D7_37137,Group_D7_37137_3deg_45deg,Group_D7_37137,1.0780488089555693,1.4627719644303756,1.5235575270313755,1.4627719644303756,B,0.01,1.7689185020433085,1.7689185020433085,0.01,4.032658195420304,1.4164002401130154,100.0,4.238400158695178,1.4164002401130154,100.0,4.317607918790867,1.476714316948909,0.01,4.84112240910675
g5_3deg_60deg,Group_D7_37137,Group_D7_37137_3deg_60deg,Group_D7_37137,1.1639782435063606,4.358423147092676,4.515290209615259,4.358423147092676,B,0.01,5.390845851265109,5.390845851265109,0.01,4.032658195420304,4.260788626897135,100.0,4.238400158695178,4.260788626897135,100.0,4.317607918790867,4.260175329701466,0.01,4.84112240910675
g5_3deg_0deg,Group_D8_37402,Group_D8_37402_3deg_0deg,Group_D8_37402,1.0018103028939245,1.439073403841049,1.2963749476177706,1.439073403841049,B,0.01,1.3020014053933147,1.3020014053933147,0.01,4.081572661884256,1.2963749476177706,0.01,4.309513301528697,1.4069531598442881,100.0,4.344192603848874,1.439073403841049,0.01,4.82200251112802
g5_3deg_30deg,Group_D8_37402,Group_D8_37402_3deg_30deg,Group_D8_37402,1.0,1.2046608969521566,1.0593466872860415,1.2046608969521566,B,0.01,1.043257307768489,1.043257307768489,0.01,4.081572661884256,1.0593466872860415,0.01,4.309513301528697,1.1657026960853665,100.0,4.344192603848874,1.2046608969521566,0.01,4.82200251112802
g5_3deg_45deg,Group_D8_37402,Group_D8_37402_3deg_45deg,Group_D8_37402,1.0567175776626112,1.338754753345521,1.2607000964813297,1.338754753345521,B,0.01,1.2890827771396982,1.2890827771396982,0.01,4.081572661884256,1.2607000964813297,0.01,4.309513301528697,1.3040031942157946,100.0,4.344192603848874,1.338754753345521,0.01,4.82200251112802
g5_3deg_60deg,Group_D8_37402,Group_D8_37402_3deg_60deg,Group_D8_37402,1.0208074947193113,1.414400439257625,1.4959107233938576,1.414400439257625,B,0.01,1.5080596540561415,1.5080596540561415,0.01,4.081572661884256,1.4959107233938576,0.01,4.309513301528697,1.3173323073356649,100.0,4.344192603848874,1.414400439257625,0.01,4.82200251112802
g5_3deg_0deg,Group_D9_37415,Group_D9_37415_3deg_0deg,Group_D9_37415,1.0034764828559655,1.3227158880117003,1.17086295107888,1.3227158880117003,B,0.01,1.2076732723920778,1.2076732723920778,0.01,4.084428659614576,1.17086295107888,0.01,4.273829349943384,1.17086295107888,100.0,4.303466650652041,1.2538946995406481,0.01,4.895487503869216
g5_3deg_30deg,Group_D9_37415,Group_D9_37415_3deg_30deg,Group_D9_37415,1.0,1.4428973082056875,1.2644528888089197,1.4428973082056875,B,0.01,1.2723199119824207,1.2723199119824207,0.01,4.084428659614576,1.2644528888089197,0.01,4.273829349943384,1.2337933534581698,100.0,4.303466650652041,1.3444557464714795,0.01,4.895487503869216
g5_3deg_45deg,Group_D9_37415,Group_D9_37415_3deg_45deg,Group_D9_37415,1.0726958396276893,1.478934561890363,1.2571022725071679,1.478934561890363,B,0.01,1.1730652031995499,1.1730652031995499,0.01,4.084428659614576,1.2571022725071679,0.01,4.273829349943384,1.2209734574844509,100.0,4.303466650652041,1.3518116355800769,0.01,4.895487503869216
g5_3deg_60deg,Group_D9_37415,Group_D9_37415_3deg_60deg,Group_D9_37415,1.0131994319387143,1.7643841819040422,1.3396530367386337,1.7643841819040422,B,0.01,1.2065989814818416,1.2065989814818416,0.01,4.084428659614576,1.3396530367386337,0.01,4.273829349943384,1.323315269260963,100.0,4.303466650652041,1.5559718803614888,0.01,4.895487503869216
g5_3deg_0deg,Group_E10_65942,Group_E10_65942_3deg_0deg,Group_E10_65942,1.0,1.2342068708371647,1.2342068708371647,1.2342068708371647,B,0.01,1.2342068708371647,1.2342068708371647,0.01,3.9772778156673327,1.303641052232478,0.01,4.157247835748882,1.2342068708371647,100.0,4.196443734679479,1.50839793116842,0.01,4.537411838557128
