policy,mesh_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_local_cell_count,mean_local_budget_fraction,median_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00,scope
Uniform matched local,2,1.0347946153632805,1.0347946153632805,1.0556713845812487,1.0695892307265609,5231.5,0.040143184904965434,0.040143184904965434,2,2,2,A
Random matched local (median),2,1.0562790391207515,1.0562790391207515,1.0642651540842372,1.0695892307265609,5208.5,0.03996669761588693,0.03996669761588693,2,2,2,A
Hybrid 25:75 SFTF:uniform,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,5230.0,0.04013167486437336,0.04013167486437336,2,2,2,A
Hybrid 50:50 SFTF:uniform,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,5237.0,0.04018538838713638,0.04018538838713638,2,2,2,A
Hybrid 75:25 SFTF:uniform,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,5222.5,0.04007412466141297,0.04007412466141297,2,2,2,A
Hybrid 25:75 Rtilde:uniform,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,5229.5,0.04012783818417599,0.04012783818417599,2,2,2,A
Hybrid 50:50 Rtilde:uniform,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,5236.5,0.04018155170693902,0.04018155170693902,2,2,2,A
Hybrid 75:25 Rtilde:uniform,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,5233.0,0.04015469494555751,0.04015469494555751,2,2,2,A
SFTF top-20 local,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1.0967742141907648,4872.0,0.037384611843064436,0.037384611843064436,1,1,1,B
Uniform matched local,1,1.072830115004652,1.072830115004652,1.072830115004652,1.072830115004652,4832.0,0.037077677427275725,0.037077677427275725,1,1,1,B
Random matched local (median),1,1.1050881010797458,1.1050881010797458,1.1050881010797458,1.1050881010797458,4824.0,0.03701629054411799,0.03701629054411799,1,1,1,B
Hybrid 25:75 SFTF:uniform,1,1.072830115004652,1.072830115004652,1.072830115004652,1.072830115004652,4858.0,0.03727718479753839,0.03727718479753839,1,1,1,B
Hybrid 50:50 SFTF:uniform,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1.0967742141907648,4865.0,0.03733089832030141,0.03733089832030141,1,1,1,B
Hybrid 75:25 SFTF:uniform,1,1.072830115004652,1.072830115004652,1.072830115004652,1.072830115004652,4859.0,0.0372848581579331,0.0372848581579331,1,1,1,B
Hybrid 25:75 Rtilde:uniform,1,1.072830115004652,1.072830115004652,1.072830115004652,1.072830115004652,4869.0,0.03736159176188028,0.03736159176188028,1,1,1,B
Hybrid 50:50 Rtilde:uniform,1,1.072830115004652,1.072830115004652,1.072830115004652,1.072830115004652,4861.0,0.037300204878722536,0.037300204878722536,1,1,1,B
Hybrid 75:25 Rtilde:uniform,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1.0967742141907648,4859.0,0.0372848581579331,0.0372848581579331,1,1,1,B
SFTF top-20 local,8,3.103314627683489,1.0225255376091311,2.025973013773683,15.850802770124055,4152.875,0.031866506549213094,0.02907052585538785,5,5,6,C
Uniform matched local,8,1.473872791743247,1.1458227637193925,2.0067937021534594,2.6128619942276337,4129.5,0.031687141749986575,0.028851835084138397,5,6,6,C
Random matched local (median),8,1.5307194009644136,1.3736514731682876,1.7642024327405765,2.537670912598717,4136.5,0.03174085527274959,0.028966935490059163,3,5,7,C
Hybrid 25:75 SFTF:uniform,8,2.0591856947453024,1.0909067525259069,1.8657494860845412,7.696158411265375,4138.625,0.03175716116358837,0.02896693549005916,5,6,6,C
Hybrid 50:50 SFTF:uniform,8,2.8348970038813257,1.0656622274348675,1.8889744813948763,13.926352627514152,4143.75,0.0317964871356113,0.02900530229203275,5,6,6,C
Hybrid 75:25 SFTF:uniform,8,3.2198575397820126,1.0329768617680775,2.0470991668157534,16.694668675185028,4147.5,0.03182526223709149,0.029028322373216904,5,5,6,C
