study_id,source_set,stratum,face_count,thingi_id,gate_accepted,sftf_k8192_wall_s,cura_5_13_sliced,cura_5_13_union,cura_5_13_mean_slice_s,cura_5_13_ref_min_mm3,cura_5_13_ref_max_mm3,cura_5_13_u_5_missing,cura_5_13_s_5_missing,cura_5_13_u_5,cura_5_13_s_5,cura_5_13_diff_5,cura_5_13_complete_5,cura_5_13_u_10_missing,cura_5_13_s_10_missing,cura_5_13_u_10,cura_5_13_s_10,cura_5_13_diff_10,cura_5_13_complete_10,cura_5_13_u_20_missing,cura_5_13_s_20_missing,cura_5_13_u_20,cura_5_13_s_20,cura_5_13_diff_20,cura_5_13_complete_20,prusa_2_9_6_sliced,prusa_2_9_6_union,prusa_2_9_6_mean_slice_s,prusa_2_9_6_ref_min_mm3,prusa_2_9_6_ref_max_mm3,prusa_2_9_6_u_5_missing,prusa_2_9_6_s_5_missing,prusa_2_9_6_u_5,prusa_2_9_6_s_5,prusa_2_9_6_diff_5,prusa_2_9_6_complete_5,prusa_2_9_6_u_10_missing,prusa_2_9_6_s_10_missing,prusa_2_9_6_u_10,prusa_2_9_6_s_10,prusa_2_9_6_diff_10,prusa_2_9_6_complete_10,prusa_2_9_6_u_20_missing,prusa_2_9_6_s_20_missing,prusa_2_9_6_u_20,prusa_2_9_6_s_20,prusa_2_9_6_diff_20,prusa_2_9_6_complete_20,tomo_u_5,tomo_s_5,tomo_diff_5,tomo_u_10,tomo_s_10,tomo_diff_10,tomo_u_20,tomo_s_20,tomo_diff_20
N066,confirm80,faces_50k_150k,82060,74690,True,4.08236100000795,55,55,15.239236885454474,439.3634355280438,28313.040951083705,0,0,0.0,0.05031155948800731,0.05031155948800731,True,0,0,0.051309014861219505,0.05031155948800731,-0.0009974553732121985,True,0,0,0.04834839910580177,0.05031155948800731,0.0019631603822055366,True,55,55,2.7156305418177826,697.3526706317375,43804.84722561369,0,0,0.0,0.10832540193758707,0.10832540193758707,True,0,0,0.1183916374468643,0.10832540193758707,-0.010066235509277238,True,0,0,0.11710998849411691,0.09290112396820742,-0.024208864525909493,True,0.000956872418139563,0.001762503164858816,0.0008056307467192529,0.00020840407224660657,0.001762503164858816,0.0015540990926122093,8.931603914681771e-05,7.443002784835607e-05,-1.4886011298461644e-05
N067,confirm80,faces_50k_150k,75806,470464,True,6.7658640000008745,54,55,14.135207755555813,5223.859054058411,21074.650617851556,0,0,0.10590791719084358,0.003108447749799772,-0.1027994694410438,True,0,0,0.23978610388126373,0.0,-0.23978610388126373,True,0,1,0.1313324542277333,0.0,-0.1313324542277333,False,55,55,3.3089619545445945,18446.2072913639,44032.005557642,0,0,0.22179580249541114,0.0,-0.22179580249541114,True,0,0,0.13940296958587092,0.0,-0.13940296958587092,True,0,0,0.025429022669684893,0.0,-0.025429022669684893,True,0.0034036876406799057,0.016166850881531223,0.012763163240851317,0.03311878545595554,0.016166850881531223,-0.01695193457442432,0.016831825604277064,0.01612399123539608,-0.0007078343688809857
N068,confirm80,faces_150k_250k,159910,351479,True,6.084587300007115,55,55,17.634973823636326,4516.868250582198,30218.586527254076,0,0,0.1185395729393639,0.047348399126520585,-0.07119117381284332,True,0,0,0.0944559342682708,0.0,-0.0944559342682708,True,0,0,0.03046949060123685,0.0,-0.03046949060123685,True,55,55,3.694615250908431,13655.65885315398,47362.986260110476,0,0,0.2528666720036244,0.18937238920370464,-0.06349428279991975,True,0,0,0.1784783313947755,0.11249514514305052,-0.06598318625172499,True,0,0,0.0,0.11249514514305052,0.11249514514305052,True,0.022549663935335883,0.017778787796033882,-0.004770876139302001,0.014759623095073799,0.0048291745025530255,-0.009930448592520773,0.036291415555364574,0.0048291745025530255,-0.03146224105281155
N069,confirm80,faces_150k_250k,187740,1335002,True,6.2667313999991165,55,55,12.195015499998805,3722.4592572529937,13179.49575946865,0,0,0.07971173323025021,0.004580656874121102,-0.07513107635612912,True,0,0,0.0,0.004580656874121102,0.004580656874121102,True,0,0,0.035594460908250705,0.004580656874121102,-0.031013804034129604,True,55,55,2.410565281818642,11994.271900776375,26905.379967884623,0,0,0.2070299906441934,0.11170277616094348,-0.0953272144832499,True,0,0,0.03298581367419581,0.11170277616094348,0.07871696248674767,True,0,0,0.07668005628399202,0.0,-0.07668005628399202,True,0.023360200210085662,0.02642087245245391,0.0030606722423682474,0.020462766512942217,0.0160320822814883,-0.004430684231453916,0.019973059851596132,0.0160320822814883,-0.003940977570107831
N070,confirm80,faces_150k_250k,154802,762601,True,7.1896632999996655,55,55,7.579177418181578,1004.9905796722304,12031.296404685403,0,0,0.04306743673166062,0.0,-0.04306743673166062,True,0,0,0.11304528715627064,0.0,-0.11304528715627064,True,0,0,0.03656349148728825,0.0,-0.03656349148728825,True,55,55,2.5771164563622073,3589.1315725083145,19753.732782152823,0,0,0.04651236058798317,0.0021766143206856685,-0.044335746267297506,True,0,0,0.09714070416108996,0.0021766143206856685,-0.09496408984040429,True,0,0,0.05893534458290256,0.0,-0.05893534458290256,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0014366990686535568,0.0,-0.0014366990686535568
N071,confirm80,faces_150k_250k,153456,551075,True,8.78391090000514,55,55,40.06472710000102,8259.427414196669,41474.46476949445,0,0,0.0,0.21002810237232108,0.21002810237232108,True,0,0,0.06605197415433459,0.19284164659745753,0.12678967244312295,True,0,0,0.06547393230814896,0.1563732861041967,0.09089935379604774,True,55,55,6.826329378182312,30745.881535992507,86674.53596327934,0,0,0.0,0.47167402613530984,0.47167402613530984,True,0,0,0.12314770728743862,0.3613929314110083,0.2382452241235697,True,0,0,0.0012651330140344772,0.16375147854459768,0.1624863455305632,True,0.011274449518226707,0.011591835657601801,0.00031738613937509416,0.0037870033456256563,0.0012406943477960963,-0.00254630899782956,0.0025246686079160095,0.0012406943477960963,-0.0012839742601199132
N072,confirm80,faces_150k_250k,161822,804297,True,5.843765199999325,55,55,5.059183510909629,926.9329531352936,6684.62000204002,0,0,0.10696251609768519,0.19802775298898795,0.09106523689130276,True,0,0,0.06496676488851702,0.13883028544481782,0.0738635205563008,True,0,0,0.0,0.13883028544481782,0.13883028544481782,True,55,55,1.642349300000404,2636.8424986347472,13491.183273230728,0,0,0.09912439320008207,0.37503102182167364,0.27590662862159154,True,0,0,0.06564531892752888,0.3742960378247918,0.3086507188972629,True,0,0,0.0,0.3353710458493415,0.3353710458493415,True,0.023879482094641566,0.052717756975279646,0.02883827488063808,0.014026940539868265,0.027539729030960688,0.013512788491092423,0.01629184621637335,0.027539729030960688,0.01124788281458734
N073,confirm80,faces_150k_250k,191706,399566,True,6.255783200002043,55,55,15.109150807271892,10623.519414752687,25942.267630693168,0,0,0.0,0.012817813179469032,0.012817813179469032,True,0,0,0.046090194484362156,0.012817813179469032,-0.03327238130489312,True,0,0,0.017841950059301108,0.00139044189711238,-0.016451508162188728,True,55,55,2.7342830472736916,25655.034834225247,45649.25274937281,0,0,0.1916495776605317,0.198484044131962,0.006834466471430295,True,0,0,0.22404109332488414,0.1574574224546142,-0.06658367087026995,True,0,0,0.09780943391821884,0.0,-0.09780943391821884,True,0.0,0.014458400130827527,0.014458400130827527,4.2051417766888514e-05,0.00034622334613229665,0.00030417192836540815,0.0,0.0,0.0
N074,confirm80,faces_150k_250k,163142,762584,True,4.956133100000443,55,55,8.506912949091532,647.719438604571,9799.578514874378,0,0,0.33242348395904997,0.004492718898331592,-0.3279307650607184,True,0,0,0.22774103501871476,0.004492718898331592,-0.22324831612038318,True,0,0,0.004485281122410214,0.0,-0.004485281122410214,True,55,55,2.797811447273654,1583.0299163534223,21084.27908146127,0,0,0.39500094260044705,0.0,-0.39500094260044705,True,0,0,0.3828993829485816,0.0,-0.3828993829485816,True,0,0,0.03352105803974632,0.0,-0.03352105803974632,True,0.09872057788894652,0.028389734684000197,-0.07033084320494631,0.022711788475574802,0.0,-0.022711788475574802,0.004731622295588649,0.0,-0.004731622295588649
N075,confirm80,faces_150k_250k,176752,1063866,True,6.7166604999947594,55,55,12.020753861816907,1763.2857328641821,12201.043039572676,0,0,0.1076555873907076,0.03277026644464841,-0.0748853209460592,True,0,0,0.018216368878182017,0.03277026644464841,0.01455389756646639,True,0,0,0.0653776322047347,0.0,-0.0653776322047347,True,55,55,4.349370087273101,5670.632176879145,28687.127129099073,0,0,0.11600499949705381,0.07744967327355856,-0.03855532622349525,True,0,0,0.0,0.07744967327355856,0.07744967327355856,True,0,0,0.03704413922228207,0.01867872307857508,-0.01836541614370699,True,0.0971303893529055,0.07374639870748242,-0.02338399064542307,0.03676747438834786,0.07374639870748242,0.03697892431913456,0.04534924896962969,0.03672006777287467,-0.008629181196755022
N076,confirm80,faces_150k_250k,185576,1356652,True,7.220441999990726,55,55,16.528390552726872,4006.35426810907,37605.68644309311,0,0,0.059428924321514844,0.042031327920080776,-0.017397596401434068,True,0,0,0.07611684251738533,0.042031327920080776,-0.03408551459730456,True,0,0,0.0,0.017084191965933512,0.017084191965933512,True,55,55,3.1741387763637414,20053.525623832928,74572.2034308695,0,0,0.12995590211527408,0.08714657121847143,-0.04280933089680265,True,0,0,0.10780063993104089,0.08714657121847143,-0.02065406871256946,True,0,0,0.010230864425254399,0.0,-0.010230864425254399,True,0.0044233118011441815,0.011040963609267712,0.00661765180812353,0.0024241428913546756,0.011040963609267712,0.008616820717913035,0.0022944998831029174,0.0065392999873260865,0.004244800104223169
N077,confirm80,faces_150k_250k,200000,1411687,True,8.89606709999498,55,55,18.911218543636444,5861.128480974288,30870.68918317689,0,0,0.06097617547324392,0.0910241865121683,0.030048011038924384,True,0,0,0.04953281565526386,0.024749161817153923,-0.024783653838109935,True,0,0,0.0,0.024749161817153923,0.024749161817153923,True,55,55,4.9955350654543675,10539.340177472388,54059.593104633364,0,0,0.04881449026585768,0.07584694686132536,0.02703245659546768,True,0,0,0.11336164606300854,0.0,-0.11336164606300854,True,0,0,0.02385840439472577,0.0,-0.02385840439472577,True,0.12970685770060483,0.3962270652454358,0.26652020754483097,0.0344121801317391,0.36051167026650577,0.3260994901347667,0.013614621566578111,0.36051167026650577,0.34689704869992766
N078,confirm80,faces_150k_250k,189994,601644,True,11.277924599999096,55,55,13.400969576362563,1986.7622999222453,19202.191738366742,0,0,0.15236365093735071,0.03283376136805269,-0.11952988956929803,True,0,0,0.09349584063926185,0.0,-0.09349584063926185,True,0,0,0.07678736295448423,0.0,-0.07678736295448423,True,55,55,3.726276772726719,4540.9091391381835,31102.30926496823,0,0,0.1811713196550392,0.07279461400728582,-0.10837670564775337,True,0,0,0.12173776142405154,0.0,-0.12173776142405154,True,0,0,0.09315540730112336,0.0,-0.09315540730112336,True,0.10666139033200221,0.05829223388736242,-0.048369156444639794,1.57267683304724e-05,0.0019343924838431423,0.00191866571551267,0.0030692362357605278,0.0019343924838431423,-0.0011348437519173855
N079,confirm80,faces_150k_250k,169380,789796,True,7.660499100005836,55,55,18.227093818181046,3948.470871143624,29364.070333598418,0,0,0.010176083130518347,0.2716177486018225,0.26144166547130415,True,0,0,0.10496546091963707,0.25205521449037444,0.14708975357073736,True,0,0,0.0,0.1465894572770949,0.1465894572770949,True,55,55,2.898969210909457,10685.098431108743,54006.47760172532,0,0,0.1577050131094492,0.35682804127712375,0.19912302816767455,True,0,0,0.1554544993753949,0.3327103198295175,0.17725582045412258,True,0,0,0.0,0.23031113487038185,0.23031113487038185,True,0.0017564813997926712,0.03402220605727993,0.03226572465748726,0.008029629072257292,0.025092588758511832,0.017062959686254542,0.00376388850691144,0.00752777701382288,0.00376388850691144
N080,confirm80,faces_150k_250k,177312,101337,True,9.843498100002762,55,55,37.81437780545437,11463.426744089938,39241.521893679535,0,0,0.12022174929247269,0.09428904194417889,-0.025932707348293796,True,0,0,0.1066706689907435,0.09428904194417889,-0.012381627046564606,True,0,0,0.0,0.09428904194417889,0.09428904194417889,True,55,55,7.176971316362456,27072.87054459141,96897.1808782701,0,0,0.0987323796801995,0.021517381579540272,-0.07721499810065924,True,0,0,0.07096460274745502,0.021517381579540272,-0.049447221167914744,True,0,0,0.0,0.021517381579540272,0.021517381579540272,True,0.08224492539362362,0.2840516962950228,0.2018067709013992,0.028551344572786946,0.2840516962950228,0.25550035172223584,0.013766673292116723,0.2840516962950228,0.2702850230029061
P001,new,faces_50k_150k,98982,762604,True,6.518795600000885,55,55,12.897616765454982,1749.4615677078416,24005.769780918843,0,0,0.038748869971677036,0.001168003444762329,-0.037580866526914704,True,0,0,6.051054658109744e-05,0.001168003444762329,0.0011074928981812317,True,0,0,0.0,0.001168003444762329,0.001168003444762329,True,55,55,3.350472630909644,5677.936969829239,41049.414108071825,0,0,0.06346253102325503,0.0,-0.06346253102325503,True,0,0,0.013183219656693482,0.0,-0.013183219656693482,True,0,0,0.0033146351319426797,0.0,-0.0033146351319426797,True,0.041149737791084336,0.021533898601878206,-0.01961583918920613,0.022254868532120303,0.021533898601878206,-0.000720969930242097,0.026879964083323753,0.021533898601878206,-0.005346065481445547
